Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
YPO - 001051 Insurance Placement DPS For Housing sector,YPO,"YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of insurance and any related services. The DPS is designed to meet the needs of Registered Providers of Social Housing.
The DPS will cover the period from 5th July 2021 to 4th July 2024 with 2 options to extend for another 3 years. The first ...",Opportunity,Open,Not Available,"4 July 2030, 11:59pm",Any region,400000000,500000000,17 May 2021,Not Available
Category 1 - Robot (System) Simulation / Virtual Reality / Augmented Reality,CTM Portal for the NDA Shared Services Alliance,"1.	Robot (System) Simulation / Virtual Reality / Augmented Reality - RFT 13063
2.	Robot Automated and Autonomous Solutions Providers - RFT 13064
3.	Robot Manipulators, robot Arms - RFT 13065
4.	Sensors - Characterisation e.g. Specialist Cameras - RFT 13066
5.	Robot End Effectors - 13067
6.	Lasers and Optics - including Power, Chiller, and Control ...",Opportunity,Open,Not Available,"12 May 2023, 12pm",WA3 6AE,0,10000000,14 May 2021,Not Available
Educational and Children's Social Care Professionals,DEPARTMENT FOR EDUCATION,"To be sourced and invited to respond to opportunities published via the 'Education and Children's Social Care' Dynamic Purchasing System (ECSC DPS) you will need to be an approved member of the ECSC DPS prior to the issue of the opportunity you are interested in, please be aware access to tenders that have been issued prior to you ...",Opportunity,Open,Not Available,"10 March 2023, 11:59pm",Any region,6500000,Not Available,14 February 2019,12 May 2021
Non-BMBC staff Laptops/ Kit - European Social Funding,Barnsley Metropolitan Borough Council,There has recently been an opportunity for Barnsley Metropolitan Borough Council to submit a project proposal to DWP which will let us buy laptops to loan to ESF (The European Social Fund) participants who do not have good digital access. Each year the ESF helps millions of Europeans improve their lives by learning new skills and finding better ...,Future opportunity,Open,10 October 2023,Not Available,United Kingdom,25980,30000,7 May 2021,Not Available
Home Group Contractor Dynamic Purchasing System North East,Home Group,"Home Group is seeking to recruit suitably qualified and experienced construction partners for a Development Contractors Dynamic Purchasing System (DPS). Contractors are sought who can undertake development projects comprising demolition, new build and/or regeneration. The scope of projects may vary and may include elements of conversion and ...",Opportunity,Open,Not Available,"6 May 2026,  1pm",North East,30000000,Not Available,6 May 2021,Not Available
Energy Efficient Retrofit Professional Services (CPU4592),Nottingham City Council,"Nottingham City Council, acting in its capacity as the accountable body for the Midlands Energy Hub, is inviting applications from suitably experienced and qualified entities to participate in a Dynamic Purchasing System covering a range of professional services to support the delivery of energy-efficiency retrofit projects.

Full details, requests...",Opportunity,Open,Not Available,"15 April 2025,  1pm",United Kingdom,0,50000000,18 March 2021,4 May 2021
YPO - 001080  The Supply of Renewable Biomass And Related Services,YPO,YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of 'The supply of Renewable Biomass and/or other related services - Ref 001080. The DPS is designed to meet the needs of all public sector organisations which includes YPO's internal requirements and any of YPO's wholly owned ...,Opportunity,Open,Not Available,"15 August 2025, 11:59pm",Any region,4000000,5000000,4 May 2021,Not Available
Home Group Development Contractors Dynamic Purchasing System Cumbria,Home Group,Home Group is seeking to recruit suitably qualified and experienced construction partners for a Development Contractors Dynamic Purchasing System (DPS). Contractors are sought who have experience of new build residential construction. Home Group is seeking to set up this DPS under which it can procure construction works on development and ...,Opportunity,Open,Not Available,"30 April 2026,  1pm",North West,40000000,Not Available,27 April 2021,Not Available
Temporary Accommodation Dynamic Purchasing System,London Borough of Hackney,"The London Borough of Hackney's Benefits and Housing Needs Service is seeking qualified partners to join a formal Dynamic Purchasing System (DPS), to provide temporary accommodation for homeless households. Suppliers will work closely with the Benefits and Housing Needs service to provide suitable accommodation for households assessed as ...",Opportunity,Open,Not Available,"26 January 2024,  8pm",England,140000000,Not Available,27 April 2021,27 April 2021
Business Support Services DPS,Warwickshire County Council,"This notice involves the setting up of a Dynamic Purchasing System. Warwickshire County Council invites applications for admission to their Dynamic Purchasing System (DPS) for the provision of Business Support Services. The DPS comprises of 13 Lots, further information in relation to the Lots is contained in the tender documentation and the ...",Opportunity,Open,Not Available,"20 April 2026,  1pm",West Midlands,0,30000000,22 April 2021,Not Available
WP3563 - Residential and Nursing Care Services 2020 - NEW APPLICATIONS ONLY,Walsall Council e-Tendering,"If you already have a contract for Residential and Nursing provision in place with Walsall Council then you do not need to complete this application process.
      
      All Care home providers who have a current contract with Walsall Council to deliver these services will be awarded this new contract from 1st November 2020 to 31st March 2023. ...",Opportunity,Open,Not Available,"31 March 2023,  3:33pm",WS1 1TP,0,Not Available,27 October 2020,21 April 2021
Freight and Haulage Services,NEUPC Ltd,"Text to be corrected in the original notice:
        Place of text to be modified: Date of latest submissions to be received
        Instead of: 21 March 2024
        Time: 13:00
        Read New: 16 April 2021
        Time: 12:00
        Other additional information: The DPS in question is to be terminated at an earlier date than originally ...",Opportunity,Open,Not Available,"21 March 2024, 12am",Any region,20000000,Not Available,23 March 2019,19 April 2021
RM Partners Evaluation,Chelsea & Westminster Hospital and The Royal Marsden NHS Foundation Trusts,RM Partners Evaluation of  cancer services,Future opportunity,Open,15 March 2023,Not Available,United Kingdom,450000,Not Available,15 April 2021,Not Available
BEIS Heat Networks Investment Vehicle (BHIVE),"Department for Business, Energy & Industrial Strategy (BEIS)","The aim of the BHIVE DPS is to establish a competitively procured arrangement that will facilitate investment (equity and asset finance) into Heat Network projects and provide projects with access to an investor base with the experience, appetite and capabilities to deliver successful heat network projects.

BEIS would expect the DPS to be ...",Opportunity,Open,Not Available,"31 March 2023, 11:59pm",United Kingdom,150000000,Not Available,4 December 2020,9 April 2021
Accounts Payable and Contract Compliance Review,London Borough of Waltham Forest,"Accounts Payable Recovery and Contracts Review - concession contract under CCS framework RM3820 Spend Analysis and Recovery Services, Lot 2.",Future opportunity,Open,1 January 2023,Not Available,South East,460000,Not Available,8 April 2021,Not Available
